title,rating
'Salem's Lot (2004),1
'Til There Was You (1997),1
"'burbs, The (1989)",2
(500) Days of Summer (2009),5
10 Cloverfield Lane (2016),1
10 Things I Hate About You (1999),8
101 Dalmatians (1996),3
101 Dalmatians (One Hundred and One Dalmatians) (1961),1
12 Angry Men (1957),18
12 Angry Men (1997),1
12 Chairs (1976),1
127 Hours (2010),1
13 Assassins (Jûsan-nin no shikaku) (2010),1
13 Going on 30 (2004),1
13 Hours (2016),1
1408 (2007),1
15 Minutes (2001),1
1984 (Nineteen Eighty-Four) (1984),2
20 Million Miles to Earth (1957),1
"20,000 Leagues Under the Sea (1954)",2
2001: A Space Odyssey (1968),34
21 (2008),1
21 Jump Street (2012),3
22 Jump Street (2014),1
25th Hour (2002),1
27 Dresses (2008),1
28 Days (2000),1
28 Days Later (2002),8
3 Idiots (2009),1
3-Iron (Bin-jip) (2004),1
300 (2007),11
3000 Miles to Graceland (2001),1
"39 Steps, The (1935)",2
3:10 to Yuma (2007),6
"40-Year-Old Virgin, The (2005)",6
"400 Blows, The (Les quatre cents coups) (1959)",2
42nd Street (1933),1
48 Hrs. (1982),1
"5,000 Fingers of Dr. T, The (1953)",1
50 First Dates (2004),4
50/50 (2011),1
52 Pick-Up (1986),1
61* (2001),1
7 Faces of Dr. Lao (1964),1
"7th Voyage of Sinbad, The (1958)",2
8 1/2 (8½) (1963),2
8 Mile (2002),2
84 Charing Cross Road (1987),1
9 (2009),1
9/11 (2002),1
A Detective Story (2003),1
A Flintstones Christmas Carol (1994),1
A Perfect Day (2015),1
A Plasticine Crow (1981),1
A Silent Voice (2016),1
A.I. Artificial Intelligence (2001),3
AVP: Alien vs. Predator (2004),1
Abbott and Costello Meet Frankenstein (1948),1
"Abominable Dr. Phibes, The (1971)",1
About Schmidt (2002),2
About Time (2013),2
About a Boy (2002),4
"Abyss, The (1989)",4
Ace Ventura: Pet Detective (1994),12
Ace Ventura: When Nature Calls (1995),3
Across the Universe (2007),3
"Act of Killing, The (2012)",1
Adam's Rib (1949),3
Adaptation (2002),9
Addams Family Values (1993),1
"Addams Family, The (1991)",3
Adventureland (2009),1
Adventures Of Sherlock Holmes And Dr. Watson: The Twentieth Century Approaches (1986),1
Adventures in Babysitting (1987),1
"Adventures of Baron Munchausen, The (1988)",2
"Adventures of Buckaroo Banzai Across the 8th Dimension, The (1984)",4
"Adventures of Milo and Otis, The (Koneko monogatari) (1986)",1
"Adventures of Pinocchio, The (1996)",1
"Adventures of Priscilla, Queen of the Desert, The (1994)",3
"Adventures of Robin Hood, The (1938)",3
Advise and Consent (1962),1
"Affair of Love, An (Liaison pornographique, Une) (1999)",1
"Affair to Remember, An (1957)",3
"African Queen, The (1951)",10
After Life (Wandafuru raifu) (1998),1
After the Sunset (2004),1
Afterglow (1997),2
"Age of Innocence, The (1993)",3
"Aguirre: The Wrath of God (Aguirre, der Zorn Gottes) (1972)",1
Air America (1990),1
Air Force One (1997),3
Airheads (1994),1
Airplane II: The Sequel (1982),3
Airplane! (1980),22
Airport '77 (1977),1
Akira (1988),11
Akira Kurosawa's Dreams (Dreams) (1990),1
Aladdin (1992),35
Aladdin and the King of Thieves (1996),1
Alesha Popovich and Tugarin the Dragon (2004),1
Alexander Nevsky (Aleksandr Nevskiy) (1938),1
Alice Doesn't Live Here Anymore (1974),1
Alice in Wonderland (1951),2
Alice in Wonderland (2010),1
Alien (1979),36
Alien Contamination (1980),1
Alien Nation (1988),2
Alien: Resurrection (1997),1
Aliens (1986),38
Alien³ (a.k.a. Alien 3) (1992),2
Alive (1993),1
All About Eve (1950),8
All About My Mother (Todo sobre mi madre) (1999),7
All Dogs Go to Heaven 2 (1996),1
All Good Things (2010),1
All Quiet on the Western Front (1930),4
All That Heaven Allows (1955),1
All That Jazz (1979),1
All Yours (2016),1
All the King's Men (1949),1
All the President's Men (1976),2
All the Real Girls (2003),1
All the Vermeers in New York (1990),1
All-Star Superman (2011),1
Almost Famous (2000),11
Along Came Polly (2004),2
"Alphaville (Alphaville, une étrange aventure de Lemmy Caution) (1965)",1
Altered States (1980),1
Alvin and the Chipmunks: The Squeakquel (2009),1
Always (1989),1
Amadeus (1984),25
"Amazing Spider-Man, The (2012)",2
"Amelie (Fabuleux destin d'Amélie Poulain, Le) (2001)",43
American Beauty (1999),65
American Flyers (1985),1
"American Friend, The (Amerikanische Freund, Der) (1977)",1
American Gangster (2007),7
American Graffiti (1973),5
American History X (1998),33
American Made (2017),1
American Pie (1999),12
American Pie 2 (2001),4
"American President, The (1995)",11
American Psycho (2000),12
American Sniper (2014),2
American Splendor (2003),3
"American Tail, An (1986)",3
"American Werewolf in London, An (1981)",1
"American in Paris, An (1951)",1
American: The Bill Hicks Story (2009),1
Amistad (1997),1
"Amityville Horror, The (1979)",2
Amores Perros (Love's a Bitch) (2000),6
Anaconda (1997),1
Analyze This (1999),1
Anchorman: The Legend of Ron Burgundy (2004),4
And Then There Were None (1945),1
And Your Mother Too (Y tu mamá también) (2001),5
"Andalusian Dog, An (Chien andalou, Un) (1929)",2
Android (1982),1
"Andromeda Strain, The (1971)",1
Angels and Insects (1995),4
Anger Management (2003),3
Animal House (1978),15
Animals are Beautiful People (1974),1
"Animatrix, The (2003)",1
Anna and the King (1999),2
Anne Frank Remembered (1995),2
Anne of Green Gables (1985),1
Anne of Green Gables: The Sequel (a.k.a. Anne of Avonlea) (1987),1
Annie (1982),1
Annie Hall (1977),19
"Anniversary Party, The (2001)",1
Ant-Man (2015),4
Antichrist (2009),1
Antitrust (2001),1
Antonia's Line (Antonia) (1995),4
Antwone Fisher (2002),1
Antz (1998),2
"Apartment, The (1960)",6
Apocalypse Now (1979),45
Apocalypto (2006),1
Apollo 13 (1995),45
Arachnophobia (1990),1
Argo (2012),4
"Aristocats, The (1970)",3
"Aristocrats, The (2005)",2
Arizona Dream (1993),2
Arlington Road (1999),1
Armageddon (1998),8
Armour of God II: Operation Condor (Operation Condor) (Fei ying gai wak) (1991),1
Army of Darkness (1993),15
Arrival (2016),6
"Arrival, The (1996)",1
Arsenic and Old Lace (1944),4
Arthur (1981),1
As Good as It Gets (1997),13
"Assassination of Jesse James by the Coward Robert Ford, The (2007)",4
Assassins (1995),2
"Assignment, The (1997)",1
Asterix and Cleopatra (Astérix et Cléopâtre) (1968),1
Asterix and the Vikings (Astérix et les Vikings) (2006),1
Atlantic City (1980),1
Atlantis: The Lost Empire (2001),1
"Atomic Cafe, The (1982)",1
Atonement (2007),1
Austin Powers in Goldmember (2002),2
Austin Powers: International Man of Mystery (1997),11
Austin Powers: The Spy Who Shagged Me (1999),14
Autumn Sonata (Höstsonaten) (1978),2
Autumn in New York (2000),1
Avatar (2009),15
"Avengers, The (2012)",13
Avengers: Age of Ultron (2015),4
Avengers: Infinity War - Part I (2018),4
"Aviator, The (2004)",1
"Awful Truth, The (1937)",1
"Awfully Big Adventure, An (1995)",1
BURN-E (2008),1
Babe (1995),27
Babe: Pig in the City (1998),1
Babes in Toyland (1934),1
Babette's Feast (Babettes gæstebud) (1987),2
Baby Driver (2017),2
"Babysitter, The (1995)",1
Bachelor Party (1984),1
Back to the Future (1985),49
Back to the Future Part II (1989),10
Back to the Future Part III (1990),6
Backdraft (1991),2
Bad Boy Bubby (1993),2
Bad Boys (1995),2
Bad Boys II (2003),1
Bad Lieutenant (1992),1
"Bad News Bears, The (1976)",1
Bad Santa (2003),1
Bad Teacher (2011),1
Badlands (1973),2
"Ballad of Narayama, The (Narayama bushiko) (1983)",1
Bambi (1942),4
Bananas (1971),2
"Band Wagon, The (1953)",1
Band of Brothers (2001),4
"Bank Job, The (2008)",2
Baraka (1992),1
Barb Wire (1996),3
Barbarella (1968),1
Barcelona (1994),4
Barfly (1987),1
Barry Lyndon (1975),1
Barton Fink (1991),1
Basic Instinct (1992),1
"Basketball Diaries, The (1995)",1
Batman (1989),17
Batman Begins (2005),16
Batman Beyond: Return of the Joker (2000),1
Batman Forever (1995),7
Batman Returns (1992),1
Batman: Mask of the Phantasm (1993),4
"Batman: The Dark Knight Returns, Part 1 (2012)",1
"Batman: The Dark Knight Returns, Part 2 (2013)",1
Batman: Under the Red Hood (2010),1
Batman: Year One (2011),1
Battle For Sevastopol (2015),1
Battle Royale (Batoru rowaiaru) (2000),7
Battle Royale 2: Requiem (Batoru rowaiaru II: Chinkonka) (2003),1
Battle for the Planet of the Apes (1973),1
"Battle of Algiers, The (La battaglia di Algeri) (1966)",1
Battleship Potemkin (1925),1
Battlestar Galactica (2003),4
Battlestar Galactica: Razor (2007),1
Bean (1997),1
"Beastmaster, The (1982)",1
Beautiful Girls (1996),1
"Beautiful Mind, A (2001)",21
Beautiful People (1999),1
Beautiful Thing (1996),2
Beauty and the Beast (1991),31
Beauty of the Day (Belle de jour) (1967),1
Beavis and Butt-Head Do America (1996),3
Bed of Roses (1996),2
Bedknobs and Broomsticks (1971),5
Beetlejuice (1988),4
Before Midnight (2013),1
Before Night Falls (2000),2
Before Sunrise (1995),7
Before Sunset (2004),1
Being John Malkovich (1999),23
Being There (1979),6
"Believer, The (2001)",1
Belle époque (1992),2
Beloved (1998),1
Ben-Hur (1959),8
Bend It Like Beckham (2002),3
Beneath the Planet of the Apes (1970),2
Benji (1974),2
Benji the Hunted (1987),1
Benny & Joon (1993),2
Bent (1997),1
Berlin Calling (2008),1
"Best Years of Our Lives, The (1946)",3
Best in Show (2000),6
"Best of Youth, The (La meglio gioventù) (2003)",1
Better Off Dead... (1985),5
"Better Tomorrow II, A (Ying hung boon sik II) (1987)",1
"Beverly Hillbillies, The (1993)",2
Beverly Hills Cop (1984),2
Beverly Hills Cop III (1994),2
Bicentennial Man (1999),1
Bicycle Thieves (a.k.a. The Bicycle Thief) (a.k.a. The Bicycle Thieves) (Ladri di biciclette) (1948),5
Big (1988),12
"Big Boss, The (Fists of Fury) (Tang shan da xiong) (1971)",1
"Big Chill, The (1983)",5
Big Daddy (1999),2
Big Fish (2003),9
Big Hero 6 (2014),8
"Big Hit, The (1998)",1
"Big Lebowski, The (1998)",32
Big Night (1996),4
"Big Short, The (2015)",6
"Big Sleep, The (1946)",6
Big Top Scooby-Doo! (2012),1
Big Trouble in Little China (1986),6
Bill & Ted's Bogus Journey (1991),1
Bill & Ted's Excellent Adventure (1989),7
"Bill Cosby, Himself (1983)",1
Bill Hicks: Revelations (1993),1
Billy Elliot (2000),3
Billy Madison (1995),7
Bio-Dome (1996),1
"Birdcage, The (1996)",7
Birdman: Or (The Unexpected Virtue of Ignorance) (2014),3
"Birds, The (1963)",3
Birdy (1984),1
Bitter Lake (2015),1
Bitter Moon (1992),1
"Bittersweet Life, A (Dalkomhan insaeng) (2005)",1
"Black Cat, White Cat (Crna macka, beli macor) (1998)",3
"Black Cauldron, The (1985)",1
Black Dynamite (2009),1
Black Hawk Down (2001),6
Black Mirror,1
Black Mirror: White Christmas (2014),3
Black Panther (2017),2
Black Sheep (1996),2
Black Swan (2010),5
Black Tar Heroin: The Dark End of the Street (2000),1
Blackbeard's Ghost (1968),1
Blade (1998),4
Blade II (2002),2
Blade Runner (1982),46
Blade Runner 2049 (2017),3
"Blair Witch Project, The (1999)",6
Blame It on Rio (1984),1
Blazing Saddles (1974),12
Blended (2014),1
"Blind Side, The  (2009)",4
"Blind Swordsman: Zatoichi, The (Zatôichi) (2003)",1
"Blob, The (1958)",1
Blood Diamond (2006),3
Blood Simple (1984),6
Bloodsport 2 (a.k.a. Bloodsport II: The Next Kumite) (1996),1
Bloodsucking Bastards (2015),1
Blow (2001),7
Blow-Out (La grande bouffe) (1973),1
Blue Planet II (2017),1
Blue Velvet (1986),10
"Blues Brothers, The (1980)",17
Bob Roberts (1992),1
Bobik Visiting Barbos (1977),1
Body Heat (1981),2
"Bodyguard, The (1992)",1
Bolt (2008),1
Bonnie and Clyde (1967),9
Boogie Nights (1997),10
"Boondock Saints II: All Saints Day, The (2009)",1
"Boondock Saints, The (2000)",6
"Boot, Das (Boat, The) (1981)",12
Booty Call (1997),1
Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan (2006),5
Born Yesterday (1950),2
Bossa Nova (2000),1
Bottle Rocket (1996),5
Bound (1996),6
"Bourne Identity, The (2002)",13
"Bourne Legacy, The (2012)",1
"Bourne Supremacy, The (2004)",12
"Bourne Ultimatum, The (2007)",10
Bowfinger (1999),2
Bowling for Columbine (2002),4
Boy Eats Girl (2005),1
Boyhood (2014),3
Boys Don't Cry (1999),4
"Boys from Brazil, The (1978)",1
Boys on the Side (1995),2
Boyz N the Hood (1991),2
Branded to Kill (Koroshi no rakuin) (1967),1
Brave (2012),2
"Brave Little Toaster, The (1987)",1
Braveheart (1995),80
Brazil (1985),23
Breakdown (1997),1
Breaker Morant (1980),1
"Breakfast Club, The (1985)",22
Breakfast at Tiffany's (1961),8
Breaking Away (1979),2
Breaking the Waves (1996),2
Breathless (À bout de souffle) (1960),2
"Breed, The (2006)",1
Brick (2005),2
Bridesmaids (2011),4
"Bridge on the River Kwai, The (1957)",20
"Bridges of Madison County, The (1995)",1
Bridget Jones's Diary (2001),8
Bridget Jones: The Edge of Reason (2004),1
Brigadoon (1954),1
"Bright Lights, Big City (1988)",1
Bringing Up Baby (1938),5
Broadcast News (1987),3
Broadway Danny Rose (1984),1
Brokeback Mountain (2005),2
Brokedown Palace (1999),1
Broken Arrow (1996),6
"Bronx Tale, A (1993)",3
Brooklyn (2015),1
Brother (2000),1
Brother (Brat) (1997),1
"Brotherhood of the Wolf (Pacte des loups, Le) (2001)",3
"Brothers Bloom, The (2008)",1
Bruce Almighty (2003),3
Buena Vista Social Club (1999),1
Buffalo '66 (a.k.a. Buffalo 66) (1998),3
"Bug's Life, A (1998)",10
Bull Durham (1988),7
Bullet in the Head (1990),1
Bulletproof (1996),1
Bullets Over Broadway (1994),7
Bullitt (1968),1
Bully (2001),1
Bulworth (1998),3
Burn After Reading (2008),4
Burnt by the Sun (Utomlyonnye solntsem) (1994),3
Butch Cassidy and the Sundance Kid (1969),17
"Butcher Boy, The (1997)",1
Butterfly (La lengua de las mariposas) (1999),1
Buzzard (2015),1
"Cabin in the Woods, The (2012)",7
"Cabinet of Dr. Caligari, The (Cabinet des Dr. Caligari., Das) (1920)",2
"Cable Guy, The (1996)",5
Caddyshack (1980),13
"Calcium Kid, The (2004)",1
Calendar Girl (1993),1
Calendar Girls (2003),1
Can't Hardly Wait (1998),1
Canadian Bacon (1995),1
"Cannonball Run, The (1981)",1
Cape Fear (1962),2
Cape Fear (1991),3
Captain America: Civil War (2016),3
Captain America: The First Avenger (2011),1
Captain America: The Winter Soldier (2014),7
Captain Phillips (2013),4
Capturing the Friedmans (2003),2
Career Girls (1997),1
Carlito's Way (1993),5
Carnage (2011),1
Carnival of Souls (1962),1
Carrie (1976),1
Cars (2006),2
Casablanca (1942),41
Cashback (2006),1
Casino (1995),14
Casino Jack (2010),1
Casino Royale (2006),15
Casper (1995),3
Cast Away (2000),11
"Cat Returns, The (Neko no ongaeshi) (2002)",1
Cat on a Hot Tin Roof (1958),3
Catch Me If You Can (2002),18
Catch-22 (1970),1
Cecil B. DeMented (2000),1
"Celebration, The (Festen) (1998)",4
"Cell, The (2000)",3
"Celluloid Closet, The (1995)",1
"Cement Garden, The (1993)",1
Center Stage (2000),2
"Center of the World, The (2001)",1
Central Intelligence (2016),1
Central Station (Central do Brasil) (1998),2
Chappie (2015),1
Charade (1963),1
Chariots of Fire (1981),3
"Charlie Brown Christmas, A (1965)",1
Charlie's Angels (2000),1
Charlotte's Web (1973),3
Chasing Amy (1997),8
Chasing Liberty (2004),3
Che: Part One (2008),1
Che: Part Two (2008),1
Cheburashka (1971),1
Cheech and Chong's Up in Smoke (1978),3
Cherish (2002),1
Chicago (2002),8
Chicken Run (2000),8
Children of Men (2006),12
Children of a Lesser God (1986),2
Children of the Corn IV: The Gathering (1996),2
Chinatown (1974),19
Chinese Puzzle (Casse-tête chinois) (2013),1
Chitty Chitty Bang Bang (1968),2
Chocolat (1988),1
Chocolat (2000),6
"Chorus Line, A (1985)",2
"Chorus, The (Choristes, Les) (2004)",2
"Christmas Story, A (1983)",18
Christmas Vacation (National Lampoon's Christmas Vacation) (1989),6
Chronicle (2012),1
"Chronicles of Narnia: The Lion, the Witch and the Wardrobe, The (2005)",4
"Chronicles of Riddick, The (2004)",1
"Chump at Oxford, A (1940)",1
Chungking Express (Chung Hing sam lam) (1994),2
"Cider House Rules, The (1999)",2
Cinderella (1950),3
"Cinderella Story, A (2004)",1
Cinema Paradiso (Nuovo cinema Paradiso) (1989),14
Cinemania (2002),1
Circle of Friends (1995),4
Citizen Kane (1941),22
Citizen Ruth (1996),1
City Lights (1931),3
City Slickers (1991),4
City Slickers II: The Legend of Curly's Gold (1994),2
City of Angels (1998),2
City of God (Cidade de Deus) (2002),21
"City of Lost Children, The (Cité des enfants perdus, La) (1995)",8
Clash of the Titans (1981),2
Class (1983),1
"Class, The (Klass) (2007)",1
Clear and Present Danger (1994),13
Clerks (1994),23
Clerks II (2006),1
Click (2006),1
"Client, The (1994)",5
Cliffhanger (1993),6
Clockwatchers (1997),1
"Clockwork Orange, A (1971)",36
Close Encounters of the Third Kind (1977),11
"Closet, The (Placard, Le) (2001)",1
Cloud Atlas (2012),1
Cloudy with a Chance of Meatballs (2009),1
Cloverfield (2008),1
Clueless (1995),10
Cocaine Cowboys (2006),1
Coco (2017),4
Cold Comfort Farm (1995),1
Collateral (2004),4
"Colonel Chabert, Le (1994)",1
"Color Purple, The (1985)",2
Colourful (Karafuru) (2010),1
Come and See (Idi i smotri) (1985),2
Coming to America (1988),1
Commando (1985),1
"Commitments, The (1991)",3
Con Air (1997),1
Conan the Barbarian (1982),5
Coneheads (1993),1
Confessions of a Shopaholic (2009),1
"Conformist, The (Conformista, Il) (1970)",2
Congo (1995),3
"Conjuring, The (2013)",1
Connections (1978),1
Conquest of the Planet of the Apes (1972),1
Conspiracy Theory (1997),1
"Constant Gardener, The (2005)",1
Constantine (2005),3
Contact (1997),17
Continental Divide (1981),1
Control (2007),1
Control Room (2004),1
"Conversation, The (1974)",5
Conversations with Other Women (2005),1
Cookie's Fortune (1999),3
Cool Hand Luke (1967),18
Cool Runnings (1993),2
Cop Land (1997),2
Cop Out (2010),1
Copycat (1995),3
Coraline (2009),1
"Corporation, The (2003)",1
Corpse Bride (2005),2
"Corrina, Corrina (1994)",1
Cosmic Scrat-tastrophe (2015),1
Cosmos,1
"Cottage, The (2008)",1
Courage Under Fire (1996),3
"Cove, The (2009)",1
Cowboy Bebop: The Movie (Cowboy Bebop: Tengoku no Tobira) (2001),1
Coyote Ugly (2000),1
"Craft, The (1996)",3
Craig Ferguson: I'm Here To Help (2013),1
Crank (2006),3
Crash (1996),2
Crash (2004),6
"Crazies, The (2010)",1
Crazy Heart (2009),1
"Crazy, Stupid, Love. (2011)",4
Crazy/Beautiful (2001),1
Creature Comforts (1989),4
Creed (2015),1
Crimes and Misdemeanors (1989),2
Crimson Tide (1995),14
Crippled Avengers (Can que) (Return of the 5 Deadly Venoms) (1981),1
Crocodile Dundee (1986),3
Crocodile Dundee II (1988),1
"Croods, The (2013)",1
Crossing Delancey (1988),1
"Crouching Tiger, Hidden Dragon (Wo hu cang long) (2000)",21
Croupier (1998),1
"Crow, The (1994)",13
"Crow: City of Angels, The (1996)",1
"Crucible, The (1996)",1
Cruel Intentions (1999),2
"Cruel Romance, A (Zhestokij Romans) (1984)",1
"Cruise, The (1998)",1
Crumb (1994),5
"Cry, the Beloved Country (1995)",1
Cry-Baby (1990),1
"Crying Game, The (1992)",4
Cube (1997),2
"Cup, The (Phörpa) (1999)",1
"Curious Case of Benjamin Button, The (2008)",2
Cutthroat Island (1995),1
Cyrano de Bergerac (1990),3
Dallas Buyers Club (2013),4
Dan in Real Life (2007),1
Dancer in the Dark (2000),6
Dances with Wolves (1990),35
Dangerous Beauty (1998),1
Dangerous Liaisons (1988),6
Dangerous Minds (1995),2
Dante's Peak (1997),1
Dark City (1998),7
"Dark Crystal, The (1982)",3
"Dark Knight Rises, The (2012)",17
"Dark Knight, The (2008)",49
Dave (1993),3
Dawn of the Dead (1978),6
Dawn of the Dead (2004),2
Dawn of the Planet of the Apes (2014),1
Day & Night (2010),1
"Day at the Races, A (1937)",1
Day of the Dead (1985),1
"Day of the Doctor, The (2013)",3
"Day the Earth Stood Still, The (1951)",5
Daylight (1996),1
Days of Thunder (1990),1
Dazed and Confused (1993),10
De platte jungle (1978),1
Dead Again (1991),3
Dead Alive (Braindead) (1992),4
Dead Man (1995),3
Dead Man Walking (1995),13
Dead Man's Shoes (2004),1
Dead Men Don't Wear Plaid (1982),2
Dead Poets Society (1989),20
Dead Ringers (1988),1
Dead Snow (Død snø) (2009),1
"Dead Zone, The (1983)",3
Dead or Alive: Hanzaisha (1999),1
Deadpool (2016),15
Deadpool 2 (2018),4
Dear Zachary: A Letter to a Son About His Father (2008),1
Death Becomes Her (1992),1
Death Note: Desu nôto (2006–2007),1
Death Proof (2007),1
Death Race 2000 (1975),1
Death and the Maiden (1994),1
Deathgasm (2015),1
Deathtrap (1982),1
"Decalogue, The (Dekalog) (1989)",1
Deconstructing Harry (1997),2
"Deer Hunter, The (1978)",10
Defending Your Life (1991),3
"Definitely, Maybe (2008)",1
Delicatessen (1991),4
Delirium (2014),1
Deliver Us from Evil (2006),1
Deliverance (1972),4
Demolition Man (1993),5
Denise Calls Up (1995),1
"Departed, The (2006)",26
Departures (Okuribito) (2008),2
Dersu Uzala (1975),2
"Descendants, The (2011)",1
"Descent, The (2005)",1
Desperado (1995),11
Despicable Me (2010),5
Despicable Me 2 (2013),2
Detroit Rock City (1999),1
"Devil Wears Prada, The (2006)",1
Devil in a Blue Dress (1995),1
"Devil's Own, The (1997)",1
Diabolique (1996),1
Diabolique (Les diaboliques) (1955),1
Dial M for Murder (1954),4
Diamonds Are Forever (1971),1
Dick (1999),1
Dick Tracy (1990),1
"Dictator, The (2012)",1
Die Another Day (2002),1
Die Hard (1988),29
Die Hard 2 (1990),4
Die Hard: With a Vengeance (1995),23
Diner (1982),3
"Dinner Game, The (Dîner de cons, Le) (1998)",1
Dinner for Schmucks (2010),1
Dinosaur (2000),1
Dirty Dancing (1987),1
"Dirty Dozen, The (1967)",5
Dirty Harry (1971),2
Dirty Rotten Scoundrels (1988),3
Dirty Work (1998),1
Disclosure (1994),6
"Discreet Charm of the Bourgeoisie, The (Charme discret de la bourgeoisie, Le) (1972)",2
"Dish, The (2001)",1
District 9 (2009),9
Divergent (2014),1
"Diving Bell and the Butterfly, The (Scaphandre et le papillon, Le) (2007)",1
Divorce - Italian Style (Divorzio all'italiana) (1961),1
Django Unchained (2012),13
Do the Right Thing (1989),5
Doctor Dolittle (1967),3
Doctor Strange (2016),3
Doctor Who: A Christmas Carol (2010),1
"Doctor Who: The Doctor, the Widow and the Wardrobe (2011)",1
Doctor Who: The Time of the Doctor (2013),1
Doctor Who: Voyage Of The Damned (2007),1
Doctor Zhivago (1965),7
Dodgeball: A True Underdog Story (2004),1
Dog Day Afternoon (1975),6
Dog Soldiers (2002),2
Dogma (1999),11
Dogville (2003),4
"Dolce Vita, La (1960)",1
Dolls (2002),1
Dolores Claiborne (1995),2
