title,rating
Don Juan DeMarco (1995),4
Donnie Brasco (1997),4
Donnie Darko (2001),25
"Doors, The (1991)",4
Double Indemnity (1944),7
Double Jeopardy (1999),1
"Double Life of Veronique, The (Double Vie de Véronique, La) (1991)",1
Double Team (1997),1
Doubt (2008),1
Down Argentine Way (1940),1
Down Periscope (1996),1
Down by Law (1986),3
"Downfall (Untergang, Der) (2004)",3
Dr. Goldfoot and the Bikini Machine (1965),1
Dr. Horrible's Sing-Along Blog (2008),5
Dr. No (1962),3
Dr. Seuss' The Lorax (2012),1
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),36
Dracula (Bram Stoker's Dracula) (1992),3
Dracula: Dead and Loving It (1995),1
Dragonheart (1996),2
Dragons: Gift of the Night Fury (2011),1
Dragonslayer (1981),1
"Draughtsman's Contract, The (1982)",1
"Dream of Light (a.k.a. Quince Tree Sun, The) (Sol del membrillo, El) (1992)",1
"Dreamers, The (2003)",1
"Dreamlife of Angels, The (Vie rêvée des anges, La) (1998)",1
Dredd (2012),3
Drillbit Taylor (2008),1
Drive (2011),5
Driving Miss Daisy (1989),2
Drop Zone (1994),1
Drugstore Cowboy (1989),4
Drunken Master (Jui kuen) (1978),4
"Duchess, The (2008)",1
Duck Soup (1933),6
"Dude, Where's My Car? (2000)",3
Duel in the Sun (1946),1
Dumb & Dumber (Dumb and Dumber) (1994),14
Dumb and Dumberer: When Harry Met Lloyd (2003),1
Dumbo (1941),3
Dune (1984),2
Dune (2000),2
Dunkirk (2017),2
Duplex (2003),1
Dying Young (1991),1
Dylan Moran: Monster (2004),1
E.T. the Extra-Terrestrial (1982),28
East is East (1999),1
Eastern Promises (2007),3
Easy A (2010),2
Easy Money (1983),1
Easy Rider (1969),1
Eat Drink Man Woman (Yin shi nan nu) (1994),5
Ed (1996),1
Ed Wood (1994),9
Eddie Izzard: Dress to Kill (1999),1
Eddie Murphy Delirious (1983),2
Eddie Murphy Raw (1987),2
Edge of Tomorrow (2014),6
"Education, An (2009)",1
Edward Scissorhands (1990),4
Eichmann (2007),1
Election (1999),11
"Elephant Man, The (1980)",2
Elf (2003),5
Elite Squad (Tropa de Elite) (2007),3
Elite Squad: The Enemy Within (Tropa de Elite 2 - O Inimigo Agora É Outro) (2010),2
Elizabeth (1998),3
Elling (2001),1
Emma (1996),9
"Emperor's New Groove, The (2000)",3
Empire Records (1995),3
Empire of the Sun (1987),2
Empties (2007),1
Enchanted April (1992),1
Encounters at the End of the World (2008),1
End of Watch (2012),1
"Endless Summer, The (1966)",1
Enemy at the Gates (2001),3
Enemy of the State (1998),6
"English Patient, The (1996)",9
English Vinglish (2012),1
"Englishman Who Went Up a Hill But Came Down a Mountain, The (1995)",1
Enough (2002),1
Enron: The Smartest Guys in the Room (2005),1
Enter the Dragon (1973),1
Enter the Void (2009),2
Entertaining Angels: The Dorothy Day Story (1996),1
Entrapment (1999),2
Equilibrium (2002),6
Eraser (1996),5
Eraserhead (1977),2
Erin Brockovich (2000),5
Escape from L.A. (1996),1
Escape from New York (1981),5
Escape from the Planet of the Apes (1971),1
Eternal Sunshine of the Spotless Mind (2004),33
Europa Europa (Hitlerjunge Salomon) (1990),1
Eva (2011),1
Event Horizon (1997),1
Ever After: A Cinderella Story (1998),2
Everest (1998),2
Everybody Wants Some (2016),1
Everyone Says I Love You (1996),2
Everything You Always Wanted to Know About Sex * But Were Afraid to Ask (1972),1
Evil Dead II (Dead by Dawn) (1987),8
"Evil Dead, The (1981)",4
Evita (1996),1
Ex Drummer (2007),1
Ex Machina (2015),5
Excalibur (1981),6
Executive Decision (1996),5
Exit Through the Gift Shop (2010),2
"Exorcist III, The (1990)",1
"Exorcist, The (1973)",12
"Expendables 2, The (2012)",1
Eye for an Eye (1996),1
Eyes Wide Shut (1999),9
FLCL (2000),4
"Face in the Crowd, A (1957)",1
Face/Off (1997),9
"Fall, The (2006)",3
Fallen (1998),2
Falling Down (1993),2
Fame (1980),1
Family Guy Presents: It's a Trap (2010),1
"Family Man, The (2000)",2
"Family, The (2013)",1
"Fan, The (1996)",1
Fandango (1985),1
Fanny and Alexander (Fanny och Alexander) (1982),1
Fantasia (1940),12
Fantasia 2000 (1999),2
"Fantastic Fear of Everything, A (2012)",1
Fantastic Mr. Fox (2009),4
"Fantastic Planet, The (Planète sauvage, La) (1973)",1
Far From Home: The Adventures of Yellow Dog (1995),1
Far from Heaven (2002),1
Farewell My Concubine (Ba wang bie ji) (1993),3
Fargo (1996),57
Fast Food Nation (2006),1
"Fast Runner, The (Atanarjuat) (2001)",1
Fast Times at Ridgemont High (1982),1
"Fast and the Furious, The (2001)",3
Faster (2010),1
Faster Pussycat! Kill! Kill! (1965),1
Fatal Attraction (1987),3
Father of the Bride (1950),1
Father of the Bride (1991),1
Father of the Bride Part II (1995),3
Fear (1996),2
Fear and Loathing in Las Vegas (1998),12
"Femme Nikita, La (Nikita) (1990)",8
Ferris Bueller's Day Off (1986),18
"Few Good Men, A (1992)",6
Fiddler on the Roof (1971),1
Field of Dreams (1989),9
"Fifth Element, The (1997)",16
Fight Club (1999),81
"Fighter, The (2010)",1
Filth (2013),1
Final Fantasy VII: Advent Children (2004),1
Final Fantasy: The Spirits Within (2001),2
Finding Dory (2016),1
Finding Forrester (2000),3
Finding Nemo (2003),22
Finding Neverland (2004),1
Fired Up (2009),2
Firewalker (1986),1
Fireworks (Hana-bi) (1997),2
"Firm, The (1993)",11
First Blood (Rambo: First Blood) (1982),3
First Daughter (2004),2
First Knight (1995),8
First Strike (Police Story 4: First Strike) (Ging chaat goo si 4: Ji gaan daan yam mo) (1996),2
"First Wives Club, The (1996)",1
"Fish Called Wanda, A (1988)",19
"Fisher King, The (1991)",8
"Fist of Fury (Chinese Connection, The) (Jing wu men) (1972)",1
Fist of Legend (Jing wu ying xiong) (1994),1
"Fistful of Dollars, A (Per un pugno di dollari) (1964)",5
Five Easy Pieces (1970),4
"Five Senses, The (1999)",1
"Flamingo Kid, The (1984)",1
Flash Gordon (1980),2
Flashdance (1983),1
Flawless (1999),1
Fletch (1985),2
Fletch Lives (1989),1
Flickering Lights (Blinkende lygter) (2000),1
Flight (2012),1
"Flintstones, The (1994)",1
Flipper (1996),1
Flirting (1991),1
Flirting With Disaster (1996),3
Flubber (1997),1
Flushed Away (2006),1
Fly Away Home (1996),1
"Fly, The (1986)",4
Focus (2015),1
"Fog of War: Eleven Lessons from the Life of Robert S. McNamara, The (2003)",2
Footloose (1984),1
For Roseanna (Roseanna's Grave) (1997),1
For Your Eyes Only (1981),1
For a Few Dollars More (Per qualche dollaro in più) (1965),8
Forbidden Planet (1956),1
Forget Paris (1995),2
Forgetting Sarah Marshall (2008),5
Formula of Love (1984),1
Forrest Gump (1994),116
"Four Days in September (O Que É Isso, Companheiro?) (1997)",1
Four Lions (2010),1
Four Rooms (1995),4
"Four Seasons, The (1981)",1
Four Weddings and a Funeral (1994),14
Frailty (2001),1
Frankenstein (1931),3
Freedom Writers (2007),1
Freeway (1996),1
"French Connection, The (1971)",6
French Kiss (1995),6
French Twist (Gazon maudit) (1995),1
Frequency (2000),3
Fresh (1994),1
Friday (1995),4
Friday the 13th (1980),2
Friday the 13th Part VI: Jason Lives (1986),1
Fried Green Tomatoes (1991),1
Friends with Benefits (2011),1
Fright Night (1985),2
"Frighteners, The (1996)",1
From Dusk Till Dawn (1996),6
From Hell (2001),3
From Here to Eternity (1953),1
From Russia with Love (1963),6
Front of the Class (2008),1
Frozen (2013),4
"Fugitive, The (1993)",46
Fugitives (1986),1
Full Metal Jacket (1987),28
"Full Monty, The (1997)",7
Funny Face (1957),1
Funny Games U.S. (2007),1
Funny Girl (1968),1
"Funny Thing Happened on the Way to the Forum, A (1966)",1
Futurama: Bender's Big Score (2007),1
Galaxy Quest (1999),12
Galaxy of Terror (Quest) (1981),1
Gallipoli (1981),2
Game of Death (1978),1
"Game, The (1997)",10
Gandhi (1982),4
Gangs of New York (2002),4
Garden State (2004),4
"Garden of Words, The (Koto no ha no niwa) (2013)",1
Garfield's Pet Force (2009),1
Garfield: The Movie (2004),1
Gaslight (1944),3
Gattaca (1997),19
Gena the Crocodile (1969),1
"General, The (1926)",4
Gentlemen Prefer Blondes (1953),1
Gentlemen of Fortune (Dzhentlmeny udachi) (1972),1
George Carlin: Back in Town (1996),1
George Carlin: It's Bad for Ya! (2008),1
George Carlin: Jammin' in New York (1992),1
George Carlin: Life Is Worth Losing (2005),1
George Carlin: You Are All Diseased (1999),1
Geri's Game (1997),1
Get Hard (2015),1
Get Him to the Greek (2010),1
Get Low (2009),1
Get Out (2017),2
Get Shorty (1995),9
Get Smart (2008),1
Gettysburg (1993),1
Ghost (1990),16
Ghost Dog: The Way of the Samurai (1999),6
Ghost Graduation (2012),1
Ghost World (2001),2
"Ghost and Mrs. Muir, The (1947)",1
"Ghost and the Darkness, The (1996)",4
Ghost in the Shell (Kôkaku kidôtai) (1995),7
Ghostbusters (a.k.a. Ghost Busters) (1984),21
Ghostbusters II (1989),1
Giant (1956),1
Gigantic (A Tale of Two Johns) (2002),1
Gigi (1958),1
Ginger Snaps (2000),1
"Girl Next Door, The (2004)",1
"Girl Who Kicked the Hornet's Nest, The (Luftslottet som sprängdes) (2009)",1
"Girl Who Leapt Through Time, The (Toki o kakeru shôjo) (2006)",2
"Girl Who Played with Fire, The (Flickan som lekte med elden) (2009)",1
"Girl on the Bridge, The (Fille sur le pont, La) (1999)",1
"Girl with the Dragon Tattoo, The (2011)",9
"Girl with the Dragon Tattoo, The (Män som hatar kvinnor) (2009)",4
"Girl, Interrupted (1999)",1
Girls About Town (1931),1
Gladiator (1992),2
Gladiator (2000),43
Glengarry Glen Ross (1992),3
Glory (1989),12
Glory Road (2006),1
Go (1999),10
Go for Zucker! (Alles auf Zucker!) (2004),1
Goal! The Dream Begins (Goal!) (2005),1
"Godfather, The (1972)",88
"Godfather: Part II, The (1974)",48
"Godfather: Part III, The (1990)",6
"Gods Must Be Crazy II, The (1989)",2
"Gods Must Be Crazy, The (1980)",9
Gods and Monsters (1998),1
"Going Places (Valseuses, Les) (1974)",1
"Golden Compass, The (2007)",1
GoldenEye (1995),10
Goldfinger (1964),6
Gomorrah (Gomorra) (2008),1
Gone Baby Gone (2007),1
Gone Girl (2014),5
Gone in 60 Seconds (2000),2
Gone with the Wind (1939),10
"Good Morning, Vietnam (1987)",8
Good Will Hunting (1997),34
"Good bye, Lenin! (2003)",4
"Good, the Bad and the Ugly, The (Buono, il brutto, il cattivo, Il) (1966)",24
Goodbye Charlie (1964),1
"Goodbye Girl, The (1977)",2
Goodfellas (1990),40
"Goonies, The (1985)",6
Gosford Park (2001),4
Gothika (2003),1
Gozu (Gokudô kyôfu dai-gekijô: Gozu) (2003),1
"Graduate, The (1967)",24
Gran Torino (2008),4
"Grand Budapest Hotel, The (2014)",8
"Grand Day Out with Wallace and Gromit, A (1989)",9
Grand Illusion (La grande illusion) (1937),2
"Grapes of Wrath, The (1940)",1
Grave of the Fireflies (Hotaru no haka) (1988),5
Gravity (2013),5
Grease (1978),4
"Great Beauty, The (Grande Bellezza, La) (2013)",1
"Great Dictator, The (1940)",2
"Great Escape, The (1963)",12
Great Expectations (1998),1
"Great Gatsby, The (2013)",2
"Great Mouse Detective, The (1986)",1
"Great Muppet Caper, The (1981)",1
"Great Outdoors, The (1988)",1
"Green Mile, The (1999)",28
Green Street Hooligans (a.k.a. Hooligans) (2005),1
Gremlins (1984),2
"Grifters, The (1990)",4
Grindhouse (2007),4
Grosse Pointe Blank (1997),10
Groundhog Day (1993),32
Grown Ups (2010),1
Grumpier Old Men (1995),6
Grumpy Old Men (1993),3
Guardians of the Galaxy (2014),13
Guardians of the Galaxy 2 (2017),5
Guess Who's Coming to Dinner (1967),6
Gulliver's Travels (1939),1
"Guns of Navarone, The (1961)",1
Guy X (2005),1
Guys and Dolls (1955),2
Hachiko: A Dog's Story (a.k.a. Hachi: A Dog's Tale) (2009),1
Hackers (1995),3
Hairspray (1988),1
Half Baked (1998),3
Half Nelson (2006),1
Halloween (1978),7
Halloween: The Curse of Michael Myers (Halloween 6: The Curse of Michael Myers) (1995),2
Hamlet (1990),1
Hamlet (1996),6
Hancock (2008),1
Hands on a Hard Body (1996),1
Hangar 18 (1980),1
"Hangover Part II, The (2011)",1
"Hangover, The (2009)",9
Hanna (2011),1
Hannah and Her Sisters (1986),2
Hannibal (2001),1
Hannibal Rising (2007),1
Happiness (1998),6
Happy Feet (2006),1
Happy Feet Two (2011),1
Happy Gilmore (1996),14
Happy Together (a.k.a. Buenos Aires Affair) (Chun gwong cha sit) (1997),1
"Happy, Texas (1999)",1
Harakiri (Seppuku) (1962),1
Hard Candy (2005),1
Hard Core Logo (1996),1
"Hard Day's Night, A (1964)",2
"Hard Way, The (1991)",1
Hard-Boiled (Lat sau san taam) (1992),3
"Harder They Come, The (1973)",1
Harlan County U.S.A. (1976),1
Harold and Kumar Go to White Castle (2004),1
Harold and Maude (1971),10
Harriet the Spy (1996),1
Harry Potter and the Chamber of Secrets (2002),12
Harry Potter and the Deathly Hallows: Part 1 (2010),13
Harry Potter and the Deathly Hallows: Part 2 (2011),10
Harry Potter and the Goblet of Fire (2005),9
Harry Potter and the Half-Blood Prince (2009),10
Harry Potter and the Order of the Phoenix (2007),10
Harry Potter and the Prisoner of Azkaban (2004),12
Harry Potter and the Sorcerer's Stone (a.k.a. Harry Potter and the Philosopher's Stone) (2001),15
Harry and the Hendersons (1987),1
Harvey (1950),3
"Hate (Haine, La) (1995)",1
"Haunting, The (1963)",2
Heart and Souls (1993),1
Heartbreak Ridge (1986),2
Heat (1995),24
"Heat, The (2013)",1
Heathers (1989),9
Heavenly Creatures (1994),4
Heavy Metal (1981),4
Hedwig and the Angry Inch (2000),4
Heidi Fleiss: Hollywood Madam (1995),2
Heima (2007),1
Hell or High Water (2016),1
Hellbenders (2012),1
Hellbound: Hellraiser II (1988),2
Hellboy (2004),3
"Hello, Dolly! (1969)",1
Hellraiser (1987),1
Hellraiser: Bloodline (1996),1
"Help, The (2011)",1
Henry Fool (1997),1
Henry V (1989),5
Henry: Portrait of a Serial Killer (1986),2
Her (2013),7
Herbie Goes Bananas (1980),1
Herbie Rides Again (1974),1
Hercules (1997),2
Hero (Ying xiong) (2002),3
Hidden Figures (2016),1
High Fidelity (2000),8
High Noon (1952),7
High Plains Drifter (1973),3
Highlander (1986),12
His Girl Friday (1940),6
"History of Violence, A (2005)",2
History of the World: Part I (1981),2
"Hitchhiker's Guide to the Galaxy, The (2005)",1
"Hobbit: An Unexpected Journey, The (2012)",6
"Hobbit: The Desolation of Smaug, The (2013)",4
Hocus Pocus (1993),1
Holiday Inn (1942),2
"Holiday, The (2006)",1
Hollywood Chainsaw Hookers (1988),1
Hollywood Shuffle (1987),1
Holy Motors (2012),1
"Holy Mountain, The (Montaña sagrada, La) (1973)",1
Home (2009),1
Home Alone (1990),6
Home Alone 2: Lost in New York (1992),3
Home for the Holidays (1995),1
Homeward Bound II: Lost in San Francisco (1996),1
Hook (1991),4
Hoop Dreams (1994),13
Hoosiers (a.k.a. Best Shot) (1986),2
Hope and Glory (1987),1
Horrible Bosses (2011),1
Horrible Bosses 2 (2014),1
"Horse Whisperer, The (1998)",1
"Host, The (2013)",1
"Host, The (Gwoemul) (2006)",2
Hostel (2005),1
Hot Fuzz (2007),12
Hot Shots! Part Deux (1993),4
Hotel Rwanda (2004),5
Hotel Transylvania (2012),1
"Hours, The (2002)",3
House (1986),1
House of Games (1987),1
Houseguest (1994),2
How High (2001),1
How the Grinch Stole Christmas (a.k.a. The Grinch) (2000),1
How the Grinch Stole Christmas! (1966),1
How to Deal (2003),1
How to Lose a Guy in 10 Days (2003),3
How to Make an American Quilt (1995),1
How to Succeed in Business Without Really Trying (1967),1
How to Train Your Dragon (2010),11
How to Train Your Dragon 2 (2014),2
Howard the Duck (1986),1
Howards End (1992),2
Howl's Moving Castle (Hauru no ugoku shiro) (2004),10
Hudson Hawk (1991),1
"Hudsucker Proxy, The (1994)",7
Hugo (2011),1
Human (2015),1
"Human Condition III, The (Ningen no joken III) (1961)",1
"Hunchback of Notre Dame, The (1996)",3
Hunger (2008),1
"Hunt for Red October, The (1990)",18
"Hunt, The (Jagten) (2012)",2
Hunting Elephants (2013),1
"Hurricane, The (1999)",2
"Hurt Locker, The (2008)",5
Husbands and Wives (1992),1
"Hush... Hush, Sweet Charlotte (1964)",1
"Hustler, The (1961)",7
Hype! (1996),1
I Am Legend (2007),1
I Am Not Your Negro (2017),1
I Am Sam (2001),2
I Am Trying to Break Your Heart (2002),1
I Heart Huckabees (2004),1
I Now Pronounce You Chuck and Larry (2007),1
I Origins (2014),1
I Still Know What You Did Last Summer (1998),1
I'm the One That I Want (2000),1
"I, Robot (2004)",2
"I, the Jury (1982)",1
I.Q. (1994),4
Ice Age (2002),4
Ice Age: The Great Egg-Scapade (2016),1
Ice Princess (2005),1
"Ice Storm, The (1997)",4
"Ideal Husband, An (1999)",1
Identity (2003),1
Idiocracy (2006),5
Idiots and Angels (2008),1
Igby Goes Down (2002),1
"Illusionist, The (2006)",7
"Imaginarium of Doctor Parnassus, The (2009)",1
Immortal Beloved (1994),3
Immortals (2011),1
"Importance of Being Earnest, The (2002)",1
"Imposter, The (2012)",1
"Impostors, The (1998)",1
Impromptu (1991),1
In Bruges (2008),10
In the Company of Men (1997),2
In the Heat of the Night (1967),3
In the Line of Fire (1993),9
In the Loop (2009),1
In the Mood For Love (Fa yeung nin wa) (2000),3
In the Mouth of Madness (1995),1
In the Name of the Father (1993),9
In the Realm of the Senses (Ai no corrida) (1976),1
"In the blue sea, in the white foam. (1984)",1
Incendies (2010),2
Inception (2010),41
"Incredibles, The (2004)",11
"Incredibly True Adventure of Two Girls in Love, The (1995)",1
Indecent Proposal (1993),1
Independence Day (a.k.a. ID4) (1996),26
"Indian in the Cupboard, The (1995)",3
Indiana Jones and the Kingdom of the Crystal Skull (2008),1
Indiana Jones and the Last Crusade (1989),31
Indiana Jones and the Temple of Doom (1984),11
Indignation (2016),1
Indochine (1992),1
Infernal Affairs (Mou gaan dou) (2002),3
Inglourious Basterds (2009),21
Inherit the Wind (1960),2
Inland Empire (2006),1
Inside Job (2010),4
Inside Man (2006),6
Inside Out (2015),7
"Insider, The (1999)",1
Insomnia (1997),1
Insomnia (2002),1
Inspector Gadget (1999),1
Insurgent (2015),1
Intact (Intacto) (2001),1
Interiors (1978),1
Interstellar (2014),22
Interview with the Vampire: The Vampire Chronicles (1994),10
Into the Abyss (2011),1
Into the Forest of Fireflies' Light (2011),1
Into the Wild (2007),9
Into the Woods (1991),1
Intolerable Cruelty (2003),1
Intouchables (2011),14
Invasion of the Body Snatchers (1956),2
Investigation Held by Kolobki (1986),1
Invictus (2009),1
Ip Man (2008),2
Iris (2001),1
"Iron Giant, The (1999)",10
Iron Man (2008),11
Iron Man 2 (2010),1
Iron Man 3 (2013),3
Iron Monkey (Siu nin Wong Fei-hung ji: Tit Ma Lau) (1993),1
"Island of Dr. Moreau, The (1996)",2
Isle of Dogs (2018),1
It (2017),1
It Follows (2014),2
It Happened One Night (1934),6
It's My Party (1996),1
It's Such a Beautiful Day (2012),1
"It's a Mad, Mad, Mad, Mad World (1963)",1
It's a Wonderful Life (1946),20
"It's the Great Pumpkin, Charlie Brown (1966)",1
"Italian Job, The (1969)",1
"Italian Job, The (2003)",2
Ivan's Childhood (a.k.a. My Name is Ivan) (Ivanovo detstvo) (1962),1
JFK (1991),2
Jack (1996),1
Jack Reacher (2012),1
"Jackal, The (1997)",2
Jackass 2.5 (2007),1
Jackass 3.5 (2011),1
Jackass 3D (2010),1
Jackass Number Two (2006),2
Jackass: The Movie (2002),1
Jackie Brown (1997),2
Jacob's Ladder (1990),2
James and the Giant Peach (1996),8
Jane Eyre (1944),1
Jane Eyre (1996),2
Jason Bourne (2016),1
Jaws (1975),31
Jaws 2 (1978),1
Jay and Silent Bob Strike Back (2001),2
Jean de Florette (1986),3
Jeffrey (1995),2
Jeremiah Johnson (1972),2
"Jerk, The (1979)",2
"Jerky Boys, The (1995)",1
Jerry Maguire (1996),9
Jesus Camp (2006),1
"Jetée, La (1962)",1
Jezebel (1938),1
Jingle All the Way (1996),1
Jiro Dreams of Sushi (2011),1
Joe Versus the Volcano (1990),1
John Wick (2014),4
John Wick: Chapter Two (2017),2
Johnny Mnemonic (1995),2
Joint Security Area (Gongdong gyeongbi guyeok JSA) (2000),2
Jonah Who Will Be 25 in the Year 2000 (Jonas qui aura 25 ans en l'an 2000) (1976),2
Journey to the West: Conquering the Demons (Daai wa sai you chi Chui mo chun kei) (2013),1
"Joy Luck Club, The (1993)",1
Joy Ride (2001),1
Judge Dredd (1995),2
Jules and Jim (Jules et Jim) (1961),2
Jumanji (1995),7
Jump In! (2007),1
"Jungle Book, The (1967)",11
"Jungle Book, The (1994)",7
Junior (1994),2
Junior and Karlson (1968),1
Juno (2007),9
Jurassic Park (1993),40
Jurassic Park III (2001),1
"Juror, The (1996)",1
Jury Duty (1995),2
Just Cause (1995),3
Just Go with It (2011),2
Just Married (2003),1
Justice League: Doom (2012) ,1
K-PAX (2001),2
Kalifornia (1993),1
"Karate Kid, Part II, The (1986)",1
"Karate Kid, The (1984)",2
Karlson Returns (1970),1
Kazaam (1996),1
Keeping the Faith (2000),1
Kelly's Heroes (1970),4
"Kentucky Fried Movie, The (1977)",1
Key Largo (1948),2
"Kid, The (1921)",1
"Kid, The (2000)",1
Kids (1995),4
Kids in the Hall: Brain Candy (1996),1
Kiki's Delivery Service (Majo no takkyûbin) (1989),2
Kill Bill: Vol. 1 (2003),20
Kill Bill: Vol. 2 (2004),19
"Killer, The (Die xue shuang xiong) (1989)",4
"Killing Fields, The (1984)",10
"Killing, The (1956)",1
Kind Hearts and Coronets (1949),1
King Kong (1933),5
King Kong (1976),1
"King and I, The (1956)",3
"King of Comedy, The (1983)",1
King of Hearts (1966),1
"King of Kong, The (2007)",2
King of New York (1990),1
"King's Speech, The (2010)",11
Kingdom of Heaven (2005),1
"Kingdom, The (2007)",2
Kingpin (1996),5
Kingsman: The Secret Service (2015),5
Kiss Kiss Bang Bang (2005),7
Kiss Me Deadly (1955),1
Kiss the Girls (1997),2
Kissing Jessica Stein (2001),1
Klute (1971),2
"Knight's Tale, A (2001)",2
Knock Off (1998),1
Knocked Up (2007),4
Knockin' on Heaven's Door (1997),1
Kolya (Kolja) (1996),2
Koyaanisqatsi (a.k.a. Koyaanisqatsi: Life Out of Balance) (1983),2
Kramer vs. Kramer (1979),2
Kubo and the Two Strings (2016),1
Kung Fu Hustle (Gong fu) (2004),4
Kung Fu Panda (2008),4
Kung Fu Panda 2 (2011),2
Kung Fu Panda 3 (2016),1
Kung Fu Panda: Secrets of the Masters (2011),1
L.A. Confidential (1997),25
L.A. Slasher (2015),1
L.A. Story (1991),3
L.I.E. (2001),1
La Cérémonie (1995),1
La La Land (2016),1
Labyrinth (1986),10
"Lady Eve, The (1941)",3
Lady Jane (1986),1
"Lady Vanishes, The (1938)",1
Lady Vengeance (Sympathy for Lady Vengeance) (Chinjeolhan geumjassi) (2005),1
Lady and the Tramp (1955),6
Laggies (2014),1
"Lake House, The (2006)",2
Lamerica (1994),2
Land of the Dead (2005),1
Lantana (2001),1
Laputa: Castle in the Sky (Tenkû no shiro Rapyuta) (1986),4
Lara Croft: Tomb Raider (2001),1
Larry David: Curb Your Enthusiasm (1999),1
Lars and the Real Girl (2007),1
Lassie (1994),1
Last Action Hero (1993),3
"Last Days of Disco, The (1998)",1
